Source,Target,Type,Id,Label,timeset,Weight,Disease,spanningtree
22,4,Undirected,223,D47,,1,Methemoglobinemia,0
22,6,Undirected,224,D68,,2,Schizophrenia,0
22,12,Undirected,225,D68,,2,Schizophrenia,0
11,6,Undirected,227,D61,,2,porphyria,0
4,6,Undirected,229,D60,,3,Polycystic kidney disease,0
4,12,Undirected,230,D58,,3,Parkinson,0
3,4,Undirected,232,D66,,3,Romano–Ward syndrome,0
4,7,Undirected,234,D66,,3,Romano–Ward syndrome,0
14,11,Undirected,241,D74,,3,Tetrahydrobiopterin deficiency,0
14,18,Undirected,242,D53,,1,Niemann-Pick disease,1
11,18,Undirected,243,D61,,2,porphyria,0
1,4,Undirected,246,D58,,2,Parkinson,0
2,10,Undirected,261,D54,,1,Nonsyndromic deafness,1
2,15,Undirected,266,D54,,1,Nonsyndromic deafness,1
3,9,Undirected,270,D61,,2,porphyria,0
3,12,Undirected,274,D54,,1,Nonsyndromic deafness,1
3,14,Undirected,276,D69,,2,Sensenbrenner syndrome,0
4,9,Undirected,281,D54,,1,Nonsyndromic deafness,1
4,14,Undirected,286,D74,,2,Tetrahydrobiopterin deficiency,0
4,15,Undirected,287,D54,,1,Nonsyndromic deafness,1
4,21,Undirected,289,D66,,3,Romano–Ward syndrome,0
9,11,Undirected,292,D61,,2,porphyria,0
9,13,Undirected,294,D54,,1,Nonsyndromic deafness,1
9,14,Undirected,295,D54,,1,Nonsyndromic deafness,1
9,15,Undirected,296,D54,,1,Nonsyndromic deafness,0
10,12,Undirected,300,D71,,2,Spondyloepiphyseal dysplasia,0
10,14,Undirected,302,D74,,2,Tetrahydrobiopterin deficiency,0
10,15,Undirected,303,D54,,1,Nonsyndromic deafness,0
10,21,Undirected,305,D54,,1,Nonsyndromic deafness,0
12,14,Undirected,316,D54,,1,Nonsyndromic deafness,0
12,15,Undirected,317,D76,,2,Tyrosinemia,0
12,21,Undirected,319,D58,,2,Parkinson,0
13,14,Undirected,321,D54,,1,Nonsyndromic deafness,0
13,21,Undirected,324,D54,,1,Nonsyndromic deafness,0
14,7,Undirected,325,D54,,1,Nonsyndromic deafness,1
14,15,Undirected,326,D54,,1,Nonsyndromic deafness,0
14,17,Undirected,327,D54,,1,Nonsyndromic deafness,0
15,7,Undirected,329,D54,,1,Nonsyndromic deafness,0
15,21,Undirected,331,D54,,1,Nonsyndromic deafness,0
17,21,Undirected,333,D54,,1,Nonsyndromic deafness,0
21,7,Undirected,334,D66,,2,Romano–Ward syndrome,0
4,5,Undirected,352,D58,,1,Parkinson,0
1,18,Undirected,360,D61,,1,porphyria,1
3,18,Undirected,365,D61,,1,porphyria,1
6,10,Undirected,367,D61,,1,porphyria,0
6,18,Undirected,369,D61,,1,porphyria,0
10,18,Undirected,373,D61,,1,porphyria,0
6,13,Undirected,392,D68,,1,Schizophrenia,1
8,22,Undirected,404,D78,,2,Waardenburg syndrome,0
22,7,Undirected,405,D68,,1,Schizophrenia,1
10,23,Undirected,413,D71,,1,Spondyloepiphyseal dysplasia,0
12,23,Undirected,414,D71,,1,Spondyloepiphyseal dysplasia,1
16,9,Undirected,425,D75,,1,Trisomy,0
16,23,Undirected,426,D75,,1,Trisomy,0
9,23,Undirected,427,D75,,1,Trisomy,0
3,20,Undirected,451,D78,,1,Waardenburg syndrome,1
8,20,Undirected,454,D78,,1,Waardenburg syndrome,1
20,22,Undirected,458,D78,,1,Waardenburg syndrome,0
